Channel Id,Channel Url,Channel Title
UCrPseYLGpNygVi34QpGNqpA,http://www.youtube.com/channel/UCrPseYLGpNygVi34QpGNqpA,Ludwig
UCsoIIWqR_2OAegsUTkY5E1g,http://www.youtube.com/channel/UCsoIIWqR_2OAegsUTkY5E1g,Schlatt & Co.
UCsvn_Po0SmunchJYOWpOxMg,http://www.youtube.com/channel/UCsvn_Po0SmunchJYOWpOxMg,videogamedunkey
UCtHaxi4GTYDpJgMSGy7AeSw,http://www.youtube.com/channel/UCtHaxi4GTYDpJgMSGy7AeSw,Michael Reeves
UCtJhDVqW8dFyvOVbFU9QK4Q,http://www.youtube.com/channel/UCtJhDVqW8dFyvOVbFU9QK4Q,yvguo
UCtUbO6rBht0daVIOGML3c8w,http://www.youtube.com/channel/UCtUbO6rBht0daVIOGML3c8w,Summoning Salt
UCtlPKUKHY54R3Fre_j3NTdA,http://www.youtube.com/channel/UCtlPKUKHY54R3Fre_j3NTdA,Barkage
UCw3DBQuPOQO3DpeRv8tmjPg,http://www.youtube.com/channel/UCw3DBQuPOQO3DpeRv8tmjPg,fanfan
UCwSM8c1XRH3wLcDmzbV5wAw,http://www.youtube.com/channel/UCwSM8c1XRH3wLcDmzbV5wAw,Steph Ran
UCwfWhtX78u56jlBgEuojY0A,http://www.youtube.com/channel/UCwfWhtX78u56jlBgEuojY0A,partyarlie
UCwgKmJM4ZJQRJ-U5NjvR2dg,http://www.youtube.com/channel/UCwgKmJM4ZJQRJ-U5NjvR2dg,george hotz archive
UCxXqeNx2u6mLcFiPrX3-G_g,http://www.youtube.com/channel/UCxXqeNx2u6mLcFiPrX3-G_g,theweeklyslap
UCzBRrR4uxN9urLDH_8mZdkw,http://www.youtube.com/channel/UCzBRrR4uxN9urLDH_8mZdkw,Nathan BOSECH





